Subject Code,Subject Name,Program,Year Level,Hours Per Week,Semester
1,Filipino 7,Grade 7,Grade 7,3,
2,English 7,Grade 7,Grade 7,4,
3,Mathematics 7,Grade 7,Grade 7,4,
4,Science & Health 7,Grade 7,Grade 7,4,
5,Araling Panlipunan 7,Grade 7,Grade 7,3,
6,Christian Living Education 7,Grade 7,Grade 7,3,
7,MAPEH 7,Grade 7,Grade 7,3,
8,TLE 7,Grade 7,Grade 7,2,
9,Filipino 8,Grade 8,Grade 8,3,
10,English 8,Grade 8,Grade 8,3,
11,Mathematics 8,Grade 8,Grade 8,3,
12,Science & Health 8,Grade 8,Grade 8,3,
13,Araling Panlipunan 8,Grade 8,Grade 8,3,
14,Christian Living Education 8,Grade 8,Grade 8,3,
15,MAPEH 8,Grade 8,Grade 8,3,
16,TLE 8,Grade 8,Grade 8,2,
17,Filipino 9,Grade 9,Grade 9,3,
18,English 9,Grade 9,Grade 9,3,
19,Mathematics 9,Grade 9,Grade 9,3,
20,Science & Health 9,Grade 9,Grade 9,3,
21,Araling Panlipunan 9,Grade 9,Grade 9,3,
22,Christian Living Education 9,Grade 9,Grade 9,3,
23,MAPEH 9,Grade 9,Grade 9,3,
24,TLE 9,Grade 9,Grade 9,2,
25,Filipino 10,Grade 10,Grade 10,3,
26,English 10,Grade 10,Grade 10,3,
27,Mathematics 10,Grade 10,Grade 10,3,
28,Science & Health 10,Grade 10,Grade 10,3,
29,Araling Panlipunan 10,Grade 10,Grade 10,3,
30,Christian Living Education 10,Grade 10,Grade 10,3,
31,MAPEH 10,Grade 10,Grade 10,3,
32,TLE 10,Grade 10,Grade 10,2,
33,Faith in the Light of the Epistles of Paul 1,Grade 11,"Accountancy, Business and Management",2,1
34,Faith in the Light of the Epistles of Paul 1,Grade 11,"Science, Technology, Engineering, and Mathematics",2,1
35,Oral Communication,Grade 11,Humanities and Social Sciences,2,1
36,Oral Communication,Grade 11,"Science, Technology, Engineering, and Mathematics",2,1
37,Organization and Management,Grade 11,"Accountancy, Business and Management",3,1
38,Business Math,Grade 11,"Accountancy, Business and Management",3,1
39,"Fundamentals of Accountancy, Business and Mgnt 1",Grade 11,"Accountancy, Business and Management",3,2
40,Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,Grade 11,Humanities and Social Sciences,2,1
41,Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,Grade 11,"Science, Technology, Engineering, and Mathematics",2,1
42,Applied Economics,Grade 12,"Accountancy, Business and Management",3,1
43,"Fundamentals of Accountancy, Business and Mgnt 2",Grade 12,"Accountancy, Business and Management",3,1
44,Principles of Marketing,Grade 11,"Accountancy, Business and Management",3,2
45,Business Finance,Grade 12,"Accountancy, Business and Management",3,2
46,Business Ethics and Social Responsibility,Grade 12,"Accountancy, Business and Management",3,2
47,Work Immersion/Business Enterprise Simulation,Grade 12,"Accountancy, Business and Management",3,2
48,Contemporary Philippine Arts from the Regions,Grade 12,"Accountancy, Business and Management",2,1
49,Contemporary Philippine Arts from the Regions,Grade 12,Humanities and Social Sciences,2,1
50,Contemporary Philippine Arts from the Regions,Grade 12,"Science, Technology, Engineering, and Mathematics",2,1
51,"Understanding Culture, Society, and Politics",Grade 12,"Accountancy, Business and Management",2,1
52,"Understanding Culture, Society, and Politics",Grade 12,Humanities and Social Sciences,2,1
53,"Understanding Culture, Society, and Politics",Grade 12,"Science, Technology, Engineering, and Mathematics",2,1
54,Physical Education and Health 3,Grade 12,"Accountancy, Business and Management",2,1
55,Physical Education and Health 3,Grade 12,Humanities and Social Sciences,2,1
56,Physical Education and Health 3,Grade 12,"Science, Technology, Engineering, and Mathematics",2,1
57,Catholic Social Teaching,Grade 12,"Accountancy, Business and Management",2,2
58,Catholic Social Teaching,Grade 12,Humanities and Social Sciences,2,2
59,Catholic Social Teaching,Grade 12,"Science, Technology, Engineering, and Mathematics",2,2
60,Media and Information Literacy,Grade 12,"Accountancy, Business and Management",2,2
61,Media and Information Literacy,Grade 12,Humanities and Social Sciences,2,2
62,Media and Information Literacy,Grade 12,"Science, Technology, Engineering, and Mathematics",2,2
63,Physical Education and Health 4,Grade 12,"Accountancy, Business and Management",2,2
64,Physical Education and Health 4,Grade 12,Humanities and Social Sciences,2,2
65,Physical Education and Health 4,Grade 12,"Science, Technology, Engineering, and Mathematics",2,2
66,Practical Research 2,Grade 11,"Accountancy, Business and Management",2,2
67,Practical Research 2,Grade 11,Humanities and Social Sciences,2,2
68,Practical Research 2,Grade 11,"Science, Technology, Engineering, and Mathematics",2,2
69,Entrepreneurship,Grade 12,"Accountancy, Business and Management",2,1
70,Entrepreneurship,Grade 12,Humanities and Social Sciences,2,1
71,Entrepreneurship,Grade 12,"Science, Technology, Engineering, and Mathematics",2,1
72,"Inquiries, Investigations and Immersion",Grade 12,Humanities and Social Sciences,2,1
73,"Inquiries, Investigations and Immersion",Grade 12,"Accountancy, Business and Management",2,1
74,"Inquiries, Investigations and Immersion",Grade 12,"Science, Technology, Engineering, and Mathematics",2,1
75,Physical Education and Health 2,Grade 11,"Accountancy, Business and Management",2,2
76,Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,Grade 11,"Accountancy, Business and Management",2,1
77,General Mathematics,Grade 11,"Accountancy, Business and Management",2,1
78,General Mathematics,Grade 11,Humanities and Social Sciences,2,1
79,General Mathematics,Grade 11,"Science, Technology, Engineering, and Mathematics",2,1
80,Earth and Life Science,Grade 11,"Accountancy, Business and Management",2,1
81,Earth and Life Science,Grade 11,Humanities and Social Sciences,2,1
82,Earth and Life Science,Grade 11,"Science, Technology, Engineering, and Mathematics",2,1
83,21st Century Literature from the Philippines and the World,Grade 11,"Accountancy, Business and Management",2,1
84,21st Century Literature from the Philippines and the World,Grade 11,Humanities and Social Sciences,2,1
85,21st Century Literature from the Philippines and the World,Grade 11,"Science, Technology, Engineering, and Mathematics",2,1
86,Physical Education and Health 1,Grade 11,"Accountancy, Business and Management",2,1
87,Physical Education and Health 1,Grade 11,Humanities and Social Sciences,2,1
88,Physical Education and Health 1,Grade 11,"Science, Technology, Engineering, and Mathematics",2,1
89,Faith in the Light of the Epistles of Paul 2,Grade 11,"Accountancy, Business and Management",2,2
90,Faith in the Light of the Epistles of Paul 2,Grade 11,Humanities and Social Sciences,2,2
91,Faith in the Light of the Epistles of Paul 2,Grade 11,"Science, Technology, Engineering, and Mathematics",2,2
92,Reading and Writing Skills,Grade 11,"Accountancy, Business and Management",2,2
93,Reading and Writing Skills,Grade 11,Humanities and Social Sciences,2,2
94,Reading and Writing Skills,Grade 11,"Science, Technology, Engineering, and Mathematics",2,1
95,Pagbasa at Pagsusuri ng Iba't ibang Teksto Tungo sa Pananaliksik,Grade 11,"Accountancy, Business and Management",2,2
96,Pagbasa at Pagsusuri ng Iba't ibang Teksto Tungo sa Pananaliksik,Grade 11,Humanities and Social Sciences,2,2
97,Pagbasa at Pagsusuri ng Iba't ibang Teksto Tungo sa Pananaliksik,Grade 11,"Science, Technology, Engineering, and Mathematics",2,2
98,Statistics and Probability,Grade 11,"Accountancy, Business and Management",2,2
99,Statistics and Probability,Grade 11,Humanities and Social Sciences,2,2
100,Statistics and Probability,Grade 11,"Science, Technology, Engineering, and Mathematics",2,2
101,Physical Science,Grade 11,"Accountancy, Business and Management",2,2
102,Physical Science,Grade 11,Humanities and Social Sciences,2,2
103,Personal Development,Grade 11,"Accountancy, Business and Management",2,2
104,Personal Development,Grade 11,Humanities and Social Sciences,2,2
105,Personal Development,Grade 11,"Science, Technology, Engineering, and Mathematics",2,2
106,Physical Education and Health 2,Grade 11,Humanities and Social Sciences,2,2
107,Physical Education and Health 2,Grade 11,"Science, Technology, Engineering, and Mathematics",2,2
108,Empowerment Technologies,Grade 11,"Accountancy, Business and Management",2,1
109,Empowerment Technologies,Grade 11,Humanities and Social Sciences,2,1
110,Empowerment Technologies,Grade 11,"Science, Technology, Engineering, and Mathematics",2,1
111,Practical Research 1,Grade 11,"Accountancy, Business and Management",2,1
112,Practical Research 1,Grade 11,Humanities and Social Sciences,2,1
113,Practical Research 1,Grade 11,"Science, Technology, Engineering, and Mathematics",2,1
114,English for Academic and Professional Purposes,Grade 11,"Accountancy, Business and Management",2,2
115,English for Academic and Professional Purposes,Grade 11,Humanities and Social Sciences,2,2
116,English for Academic and Professional Purposes,Grade 11,"Science, Technology, Engineering, and Mathematics",2,2
117,Pagsulat sa Filipino sa Piling Larangan (Akademik),Grade 12,"Accountancy, Business and Management",2,2
118,Pagsulat sa Filipino sa Piling Larangan (Akademik),Grade 12,Humanities and Social Sciences,2,2
119,Pagsulat sa Filipino sa Piling Larangan (Akademik),Grade 12,"Science, Technology, Engineering, and Mathematics",2,2
120,Theology of the Body,Grade 12,"Accountancy, Business and Management",2,2
121,Theology of the Body,Grade 12,Humanities and Social Sciences,2,1
122,Theology of the Body,Grade 12,"Science, Technology, Engineering, and Mathematics",2,1
123,Introduction to Philosophy of the Human Person,Grade 12,"Accountancy, Business and Management",2,1
124,Introduction to Philosophy of the Human Person,Grade 12,Humanities and Social Sciences,2,1
125,Introduction to Philosophy of the Human Person,Grade 12,"Science, Technology, Engineering, and Mathematics",2,1
126,Philippine Politics and Governance,Grade 11,Humanities and Social Sciences,3,1
127,Discipline and Ideas in Social Sciences,Grade 11,Humanities and Social Sciences,3,1
128,Intro to World Religions and Belief System,Grade 11,Humanities and Social Sciences,3,2
129,Discipline and Ideas in Applied Social Science,Grade 11,Humanities and Social Sciences,3,2
130,"Community Engagement, Solidarity and Citizenship",Grade 12,Humanities and Social Sciences,3,1
131,Creative Writing,Grade 12,Humanities and Social Sciences,3,1
132,"Trends, Networks and Critical Thinking in the 21st Century Culture",Grade 12,Humanities and Social Sciences,3,2
133,Creative Non-Fiction,Grade 12,Humanities and Social Sciences,3,2
134,Work Immersion/Culminating Activity,Grade 12,Humanities and Social Sciences,3,2
135,Pre-Calculus,Grade 11,"Science, Technology, Engineering, and Mathematics",3,1
136,General Biology 1,Grade 11,"Science, Technology, Engineering, and Mathematics",3,2
137,Basic Calculus,Grade 11,"Science, Technology, Engineering, and Mathematics",3,2
138,General Biology 2,Grade 11,"Science, Technology, Engineering, and Mathematics",3,2
139,General Physics 1,Grade 12,"Science, Technology, Engineering, and Mathematics",3,1
140,General Chemistry 1,Grade 12,"Science, Technology, Engineering, and Mathematics",3,1
141,General Physics 2,Grade 12,"Science, Technology, Engineering, and Mathematics",3,2
142,General Chemistry 2,Grade 12,"Science, Technology, Engineering, and Mathematics",3,2
143,Work Immersion/Capstone Project,Grade 12,"Science, Technology, Engineering, and Mathematics",3,2
144,Reading and Literacy 1,Grade 1,Grade 1,1,
145,Reading and Literacy 2,Grade 2,Grade 2,1,
146,Reading and Literacy 3,Grade 3,Grade 3,1,
147,Reading and Literacy 4,Grade 4,Grade 4,1,
148,Reading and Literacy 5,Grade 5,Grade 5,1,
149,Reading and Literacy 6,Grade 6,Grade 6,1,
150,Reading and Literacy 7,Grade 7,Grade 7,1,
151,Reading and Literacy 8,Grade 8,Grade 8,1,
152,Reading and Literacy 9,Grade 9,Grade 9,1,
153,Reading and Literacy 10,Grade 10,Grade 10,1,
154,Language 1,Grade 1,Grade 1,3,
155,Mathematics 1,Grade 1,Grade 1,4,
156,Christian Living Education 1,Grade 1,Grade 1,3,
157,Makabansa 1,Grade 1,Grade 1,3,
158,Computer 1,Grade 1,Grade 1,1,
159,Paulinian Writing 1,Grade 1,Grade 1,1,
160,Filipino 2,Grade 2,Grade 2,3,
161,English 2,Grade 2,Grade 2,3,
162,Mathematics 2,Grade 2,Grade 2,4,
163,Araling Panlipunan 2,Grade 2,Grade 2,3,
164,Christian Living Education 2,Grade 2,Grade 2,3,
165,MAPEH 2,Grade 2,Grade 2,3,
166,Computer 2,Grade 2,Grade 2,1,
167,Paulinian Writing 2,Grade 2,Grade 2,1,
168,Filipino 3,Grade 3,Grade 3,3,
169,English 3,Grade 3,Grade 3,3,
170,Mathematics 3,Grade 3,Grade 3,4,
171,Science & Health 3,Grade 3,Grade 3,3,
172,Araling Panlipunan 3,Grade 3,Grade 3,3,
173,Christian Living Education 3,Grade 3,Grade 3,3,
174,MAPEH 3,Grade 3,Grade 3,3,
175,Computer 3,Grade 3,Grade 3,1,
176,Paulinian Writing 3,Grade 3,Grade 3,1,
177,Filipino 4,Grade 4,Grade 4,3,
178,English 4,Grade 4,Grade 4,4,
179,Mathematics 4,Grade 4,Grade 4,4,
180,Science & Health 4,Grade 4,Grade 4,4,
181,Christian Living Education 4,Grade 4,Grade 4,3,
182,MAPEH 4,Grade 4,Grade 4,3,
183,Computer 4,Grade 4,Grade 4,2,
184,HELE 4,Grade 4,Grade 4,2,
185,Araling Panlipunan 4,Grade 4,Grade 4,3,
186,Filipino 5,Grade 5,Grade 5,3,
187,English 5,Grade 5,Grade 5,3,
188,Mathematics 5,Grade 5,Grade 5,4,
189,Science & Health 5,Grade 5,Grade 5,3,
190,Araling Panlipunan 5,Grade 5,Grade 5,3,
191,Christian Living Education 5,Grade 5,Grade 5,3,
192,MAPEH 5,Grade 5,Grade 5,3,
193,Computer 5,Grade 5,Grade 5,2,
194,HELE 5,Grade 5,Grade 5,2,
195,Filipino 6,Grade 6,Grade 6,3,
196,English 6,Grade 6,Grade 6,3,
197,Mathematics 6,Grade 6,Grade 6,4,
198,Science & Health 6,Grade 6,Grade 6,3,
199,Christian Living Education 6,Grade 6,Grade 6,3,
200,MAPEH 6,Grade 6,Grade 6,3,
201,Computer 6,Grade 6,Grade 6,2,
202,HELE 6,Grade 6,Grade 6,2,
203,Christian Living Education,Toddler,Toddler,1,
204,Language and Spelling,Toddler,Toddler,1,
205,Number Readiness,Toddler,Toddler,1,
206,Reading Readiness T,Toddler,Toddler,1,
207,Christian Living Education,Nursery,Nursery,2,
208,Language and Spelling,Nursery,Nursery,2,
209,Number Readiness,Nursery,Nursery,2,
210,Reading Readiness N,Nursery,Nursery,2,
211,Christian Living Education,Kinder,Kinder,2,
212,Language and Spelling,Kinder,Kinder,2,
213,Reading Readiness N,Kinder,Kinder,2,
214,Robotics 11,Grade 11,"Science, Technology, Engineering, and Mathematics",1,1
215,Robotics 12,Grade 12,"Science, Technology, Engineering, and Mathematics",1,1
216,Araling Panlipunan 6,Grade 6,Grade 6,3,
217,Robotics 7,Grade 7,Grade 7,1,
218,Faith in the Light of the Epistles of Paul 1,Humanities and Social Sciences,Grade 11,2,1
220,Robotics 8,Grade 8,Grade 8,1,
221,Robotics 9,Grade 9,Grade 9,1,
222,Robotics 10,Grade 10,Grade 10,1,
225,Oral Communication,Grade 11,"Accountancy, Business and Management",2,1
226,ICT 10,Grade 10,Grade 10,2,
227,ICT 7,Grade 7,Grade 7,2,
228,ICT 9,Grade 9,Grade 9,2,
229,ICT 8,Grade 8,Grade 8,2,
232,Robotics 11,Grade 11,"Accountancy, Business and Management",1,1
233,Robotics 11,Grade 11,Humanities and Social Sciences,1,1
234,Robotics 12,Grade 12,"Accountancy, Business and Management",1,1
235,Robotics 12,Grade 12,Humanities and Social Sciences,1,1
236,Robotics 4,Grade 4,Grade 4,1,
237,Robotics 5,Grade 5,Grade 5,1,
238,Robotics 6,Grade 6,Grade 6,1,
239,DRRR,Grade 11,"Science, Technology, Engineering, and Mathematics",2,2
240,"Inquiries, Investigations and Immersion (2nd Semester)",Grade 12,"Accountancy, Business and Management",2,2
241,"Inquiries, Investigations and Immersion (2nd Semester)",Grade 12,"Science, Technology, Engineering, and Mathematics",2,2
242,"Inquiries, Investigations and Immersion (2nd Semester)",Grade 12,Humanities and Social Sciences,2,2
